Printout for SDDS file result.sdds

    Turns         x_79           y_79     
                   m              m       
------------------------------------------
        574  -1.218790e-04  -3.173760e-05 
        575  -7.362810e-05   1.764240e-04 
        576   5.897030e-05  -1.088800e-05 
        577   1.252790e-04  -1.752520e-04 
        578   4.916670e-05   5.359360e-05 
        579  -8.359170e-05   1.636850e-04 
        580  -1.219700e-04  -9.385170e-05 
        581  -2.149440e-05  -1.422260e-04 
        582   1.042350e-04   1.292350e-04 
        583   1.119790e-04   1.119760e-04 
        584  -7.958030e-06  -1.575610e-04 
        585  -1.196900e-04  -7.457500e-05 
        586  -9.569970e-05   1.770280e-04 
        587   3.763080e-05   3.211550e-05 
        588   1.290000e-04  -1.863270e-04 
        589   7.387570e-05   1.297100e-05 
        590  -6.591660e-05   1.847300e-04 
        591  -1.315220e-04  -5.805460e-05 
        592  -4.756960e-05  -1.721410e-04 
        593   9.124800e-05   1.004580e-04 
        594   1.269710e-04   1.491190e-04 
        595   1.811200e-05  -1.376180e-04 
        596  -1.121830e-04  -1.168470e-04 
        597  -1.154370e-04   1.672330e-04 
        598   1.296540e-05   7.708550e-05 
        599   1.274880e-04  -1.874140e-04 
        600   9.739560e-05  -3.206630e-05 
        601  -4.400880e-05   1.967970e-04 
        602  -1.362090e-04  -1.562420e-05 
        603  -7.368530e-05  -1.946360e-04 
        604   7.333020e-05   6.319510e-05 
        605   1.377300e-04   1.808600e-04 
        606   4.547300e-05  -1.078140e-04 
        607  -9.929860e-05  -1.560890e-04 
        608  -1.318120e-04   1.467730e-04 
        609  -1.419570e-05   1.216050e-04 
        610   1.204300e-04  -1.776540e-04 
        611   1.186180e-04  -7.929650e-05 
        612  -1.851150e-05   1.984790e-04 
        613  -1.354740e-04   3.154740e-05 
        614  -9.871230e-05  -2.078330e-04 
        615   5.090070e-05   1.889010e-05 
        616   1.434820e-04   2.049600e-04 
        617   7.303430e-05  -6.905570e-05 
        618  -8.120410e-05  -1.898210e-04 
        619  -1.438720e-04   1.159530e-04 
        620  -4.285910e-05   1.631070e-04 
        621   1.077300e-04  -1.567280e-04 
        622   1.364620e-04  -1.262140e-04 
        623   9.733710e-06   1.888430e-04 
        624  -1.289580e-04   8.116650e-05 
        625  -1.214940e-04  -2.102320e-04 
        626   2.460180e-05  -3.051490e-05 
        627   1.436220e-04   2.194340e-04 
        628   9.962410e-05  -2.281290e-05 
        629  -5.830500e-05  -2.156900e-04 
        630  -1.507910e-04   7.567750e-05 
        631  -7.190050e-05   1.990010e-04 
        632   8.953010e-05  -1.249130e-04 
        633   1.499200e-04  -1.701440e-04 
        634   3.971100e-05   1.675140e-04 
        635  -1.165280e-04   1.306340e-04 
        636  -1.408930e-04  -2.008210e-04 
        637  -4.715230e-06  -8.265230e-05 
        638   1.377450e-04   2.226830e-04 
        639   1.240350e-04   2.892310e-05 
        640  -3.124020e-05  -2.315980e-04 
        641  -1.519090e-04   2.743780e-05 
        642  -1.001060e-04   2.268110e-04 
        643   6.621890e-05  -8.310280e-05 
        644   1.581080e-04  -2.083760e-04 
        645   7.026310e-05   1.347290e-04 
        646  -9.829870e-05   1.771640e-04 
        647  -1.558450e-04  -1.791570e-04 
        648  -3.601300e-05  -1.348260e-04 
        649   1.256770e-04   2.136040e-04 
        650   1.450750e-04   8.370840e-05 
        651  -8.692170e-07  -2.358380e-04 
        652  -1.467700e-04  -2.672440e-05 
        653  -1.262160e-04   2.443210e-04 
        654   3.842950e-05  -3.281150e-05 
        655   1.603080e-04  -2.383100e-04 
